Job title,Company name,Locations name,Skills,links
Flutter Developer & Full Stack Web Developer,AGG Information Technology  -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Full Stack · Computer Science · Software Development · jQuery · Web Development · HTML · Git,/jobs/p/ypFxkM3d01v0-Flutter-Developer-Full-Stack-Web-Developer-AGG-Information-Technology-Cairo-Egypt?o=68&l=sp&t=sj&a=html|search-v3|navbg
Front-End Software Engineer,Eden Solutions -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Typescript · Computer Science · Information Technology (IT) · Software Engineering · Front-End Development · HTML · CSS,/jobs/p/wW4BkeKAIaeG-Front-End-Software-Engineer-Eden-Solutions-Cairo-Egypt?o=69&l=sp&t=sj&a=html|search-v3|navbg
Junior PHP Developer,Confidential -,"Moharam Bek, Alexandria, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Computer Science · Docker · Laravel Framework · Laravel · Nginx · Elasticsearch · Logstash,/jobs/p/n8FQsL8FwwLF-Junior-PHP-Developer-Alexandria-Egypt?o=70&l=sp&t=sj&a=html|search-v3|navbg
Senior NET Developer,Smartpan -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Agile · HTML · Git · Information Technology (IT) · jQuery · JavaScript,/jobs/p/tVfIzDimdV55-Senior-NET-Developer-Smartpan-Cairo-Egypt?o=71&l=sp&t=sj&a=html|search-v3|navbg
Mobile Developer - React Native,Exinitic information technology -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · iOS · Android · Android SDK · Objective-C · Mobile Development · Information Technology (IT) · Computer Science · Software Development,/jobs/p/jvSzJJzWbnfO-Mobile-Developer---React-Native-Exinitic-information-technology-Giza-Egypt?o=72&l=sp&t=sj&a=html|search-v3|navbg
OutSystems Developer,Ejada  -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · HTML · OutSystems · Java · JavaScript · CSS · HTML5 · REST,/jobs/p/y3JdMJTSBw8I-OutSystems-Developer-Ejada-Cairo-Cairo-Egypt?o=73&l=sp&t=sj&a=html|search-v3|navbg
IOS Technical Lead - KSA,LINK Development -,"Riyadh, Saudi Arabia ",Full TimeManager · 7 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Objective-C · iOS · Software Development · Engineering · Information Technology (IT) · Mobile Platforms · iOS Development · Mobile Development,/jobs/p/E2Zr9bGOIyFE-IOS-Technical-Lead---KSA-LINK-Development-Riyadh-Saudi-Arabia?o=74&l=sp&t=sj&a=html|search-v3|navbg
Senior Developer - Bahrain,Ramez Group -,"Manama, Bahrain ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software · Software Developement · HTML · SQL · Development · .Net · Angular,/jobs/p/0geQTkbFIlbW-Senior-Developer---Bahrain-Ramez-Group-Manama-Bahrain?o=75&l=sp&t=sj&a=html|search-v3|navbg
Senior Front End Developer,Orion -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · HTML5 · CSS3 · JavaScript · Software Development · Computer Science · CSS · Git,/jobs/p/QcE86ShZv1Gp-Senior-Front-End-Developer-Orion-Cairo-Egypt?o=76&l=sp&t=sj&a=html|search-v3|navbg
Java Web Developer,MD Labs -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Agile · Software · Git · Java · Software Development · Web Development,/jobs/p/vadmDZU1cHk2-Java-Web-Developer-MD-Labs-Cairo-Egypt?o=77&l=sp&t=sj&a=html|search-v3|navbg
Angular Front End Developer,Glamera -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · Angular · jQuery · MVC · JSON · Information Technology (IT) · XML · CSS3,/jobs/p/mOAYher05B0n-Angular-Front-End-Developer-Glamera-Cairo-Egypt?o=78&l=sp&t=sj&a=html|search-v3|navbg
Senior .NET Back End Developer,Compu master -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · OOP · SQL · ASP.Net · MVC · REST · ASP.Net Web API · SOLID,/jobs/p/cUVibblGO5zh-Senior-NET-Back-End-Developer-Compu-master-Cairo-Egypt?o=79&l=sp&t=sj&a=html|search-v3|navbg
Social Media Specalist,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Agency · Marketing · E-Marketing · social media platforms · Social Media · social · HTML · media,/jobs/p/5kyYVnc4eyPR-Social-Media-Specalist-Cairo-Egypt?o=80&l=sp&t=sj&a=html|search-v3|navbg
UI UX Designer,Ejada  -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Sketch · UI/UX · Android · Computer Science · CSS · Design · HTML,/jobs/p/4iVKNF2brXI5-UI-UX-Designer-Ejada-Cairo-Cairo-Egypt?o=81&l=sp&t=sj&a=html|search-v3|navbg
Application Support (Backend Developer),IDH -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Back-End Development · Information Technology (IT) · Application Support · HTML · CSS · Design · Technical Support · Oracle,/jobs/p/OCdVGtbfRoty-Application-Support-Backend-Developer-IDH-Giza-Egypt?o=82&l=sp&t=sj&a=html|search-v3|navbg
Senior .NET Developer (WPF),Smartpan -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · C# · .NET · Web Development · VS 2013 · VS 2015 · MVC · EF,/jobs/p/DmHrea66qbdy-Senior-NET-Developer-WPF-Smartpan-Cairo-Egypt?o=83&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer - Alexandria,Caduceus Lane -,"San Stefano, Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · Full Stack · HTML · Web Development · Software Development · JavaScript · PHP · MySQL,/jobs/p/SPNAm62ASuMC-Full-Stack-Developer---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=84&l=sp&t=sj&a=html|search-v3|navbg
Software Developer - ASP.NET,Mazzika Group -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · .NET · C# · ASP.NET · javaScript · Computer Engineering,/jobs/p/rTb5CrI3RVj2-Software-Developer---ASPNET-Mazzika-Group-Giza-Egypt?o=85&l=sp&t=sj&a=html|search-v3|navbg
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · SQL · MySQL · RESTful · JavaScript · Django · Flask · Docker,/jobs/p/0yvTijkcosNQ-Junior-Python-Developer-RDI-Giza-Egypt?o=86&l=sp&t=sj&a=html|search-v3|navbg
Senior Magento Developer,Bazzarry For Treading -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML · Information Technology (IT) · Software Engineering · JavaScript · jQuery · MVC,/jobs/p/ni5UyKAB5hVK-Senior-Magento-Developer-Bazzarry-For-Treading-Cairo-Egypt?o=87&l=sp&t=sj&a=html|search-v3|navbg
Senior Odoo Developer,Blue Ribbon -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · Computer Science · CSS · Git · HTML · JavaScript,/jobs/p/agIv6WyiyzOh-Senior-Odoo-Developer-Blue-Ribbon-Cairo-Egypt?o=88&l=sp&t=sj&a=html|search-v3|navbg
Oracle Developer,(MSA) October University -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Oracle · Oracle APEX · APEX · Computer Engineering · Software Development · Computer Science · CSS · Engineering,/jobs/p/w9oRs2kpSmdH-Oracle-Developer-MSA-October-University-Giza-Egypt?o=89&l=sp&t=sj&a=html|search-v3|navbg
PHP Web Developer,(MSA) October University -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · HTML5 · JavaScript · CSS3 · Web Development · PHP · Laravel,/jobs/p/MbrcOgHvgPnS-PHP-Web-Developer-MSA-October-University-Giza-Egypt?o=90&l=sp&t=sj&a=html|search-v3|navbg
Senior Software Engineer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · engineer · senior · Software Development · Software engineer · Software Engineering · Software · Information Technology (IT),/jobs/p/Z7kPNjAr7K2V-Senior-Software-Engineer-Cairo-Egypt?o=91&l=sp&t=sj&a=html|search-v3|navbg
