Job title,Company name,Locations name,Skills,links
Senior .NET Developer,Afaqy -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · .NET · MVC · Computer Science · Software Development · C# · ASP.NET · SQL,/jobs/p/Pb0d7ifp8odK-Senior-NET-Developer-Afaqy-Cairo-Egypt?o=15&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer,EMIRATES BARQ -,"Sharjah, United Arab Emirates ",Part TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · VueJS · ReactJS · CSS3 · CSS · NFPA Codes · Computer Science · Git · HTML5,/jobs/p/mhTpUfUxMqcl-Full-Stack-Developer-EMIRATES-BARQ-Sharjah-United-Arab-Emirates?o=16&l=sp&t=sj&a=html|search-v3|navbg
PHP Team Coach,The Translation Gate -,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CodeIgniter · Computer Science · PHP · MVC · MySQL · JavaScript · Software Development · Engineering,/jobs/p/A7IQSI38OlwH-PHP-Team-Coach-The-Translation-Gate-Cairo-Egypt?o=17&l=sp&t=sj&a=html|search-v3|navbg
Senior Laravel Developer (Work from office),Storage it Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · senior · developer · Laravel · laravel developer · Design · HTML,/jobs/p/hCPotzZIZr1I-Senior-Laravel-Developer-Work-from-office-Storage-it-Solutions-Cairo-Egypt?o=18&l=sp&t=sj&a=html|search-v3|navbg
Full Stack PHP Developer,Mishkat Nour -,"Port Said, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Web Programming · Computer Science · Web Development · Web · HTML · Programming · CSS,/jobs/p/mbAYO8Fc0v0D-Full-Stack-PHP-Developer-Mishkat-Nour-Port-Said-Egypt?o=19&l=sp&t=sj&a=html|search-v3|navbg
UI/UX Designer - Front End Developer,Tidal -,"Cairo, Egypt ",Full TimePart TimeFreelance / ProjectExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UI Design · UX · Adobe Photoshop · CSS · Design · Information Technology (IT) · HTML,/jobs/p/gCrZSBcGBZkR-UIUX-Designer---Front-End-Developer-Tidal-Cairo-Egypt?o=20&l=sp&t=sj&a=html|search-v3|navbg
Team Lead .Net Developer - Hybrid,GET Group- Egypt -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Computer Science · Information Technology (IT) · Software Development · Lead · ASP.Net · Angular · SDLC,/jobs/p/Wz1kdQITrSHc-Team-Lead-Net-Developer---Hybrid-GET-Group--Egypt-Cairo-Egypt?o=21&l=sp&t=sj&a=html|search-v3|navbg
Senior Odoo Developer,Ejadtech -,"Dokki, Giza, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Git · HTML · jQuery · JavaScript · XML · Development · Software Development,/jobs/p/6RZ8Uz58pxuQ-Senior-Odoo-Developer-Ejadtech-Giza-Egypt?o=22&l=sp&t=sj&a=html|search-v3|navbg
Senior Front End Developer Angular Technology,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Computer Science · CSS3 · Design · Git · HTML5 · Information Technology (IT),/jobs/p/aaHZApnVTxZ8-Senior-Front-End-Developer-Angular-Technology-FlairsTech-Cairo-Egypt?o=23&l=sp&t=sj&a=html|search-v3|navbg
Senior Full Stack Engineer - MERN Stack,Exinitic information technology -,"Giza, Egypt ",Full TimeShift BasedExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MongoDB · MERN Stack · CSS · HTML · MERN · MySQL · JavaScript · Software Development,/jobs/p/WXsk8M8I2NwM-Senior-Full-Stack-Engineer---MERN-Stack-Exinitic-information-technology-Giza-Egypt?o=24&l=sp&t=sj&a=html|search-v3|navbg
